No,Kecamatan,Unit Kerja (Puskesmas),Tanggal,Tahun,Bulan,Pendek,Sangat Pendek,Stunting,Jumlah Yang Diukur,Prevalensi Stunting,Prevalensi Stunting (persen),Jumlah Rumah Sakit,Jumlah Puskesmas,Jumlah Puskesmas Pembantu,Jumlah Klinik,Jumlah Pondak Bersalin Desa (Polindes),Pos Kesehatan
1,Donomulyo,Donomulyo,01/01/2020,2020,Februari,161,26,187,3912,"8,6","0,086",0,1,4,3,10,10
2,Kalipare,Kalipare,01/01/2020,2020,Februari,167,38,205,3360,"13,1","0,131",0,1,3,1,2,4
3,Pagak,Pagak,01/01/2020,2020,Februari,131,0,131,1357,"9,7","0,097",0,2,3,2,4,4
4,Pagak,Sumbermanjing Kulon,01/01/2020,2020,Februari,70,36,106,951,"20,2","0,202",0,2,3,0,5,5
5,Bantur,Bantur,01/01/2020,2020,Februari,167,26,193,1870,"14,4","0,144",0,2,4,1,5,5
6,Bantur,Wonokerto,01/01/2020,2020,Februari,370,24,394,2629,"15,4","0,154",0,2,4,2,9,9
7,Gedangan,Gedangan,01/01/2020,2020,Februari,97,19,116,2302,"4,6","0,046",0,2,6,6,6,6
8,Sumbermanjing Wetan,Sitiarjo,01/01/2020,2020,Februari,239,100,339,2773,"14,6","0,146",0,1,2,0,6,6
9,Sumbermanjing Wetan,Sumbermanjing,01/01/2020,2020,Februari,560,118,678,4079,"22,5","0,225",0,1,2,0,12,13
10,Dampit,Dampit,01/01/2020,2020,Februari,386,45,431,3711,"17,8","0,178",0,2,4,2,17,17
11,Dampit,Pamotan,01/01/2020,2020,Februari,238,134,372,3284,8,"0,08",0,2,4,3,13,13
12,Tirtoyudo,Tirtoyudo,01/01/2020,2020,Februari,398,185,583,2919,"24,6","0,246",0,1,4,4,17,17
13,Ampelgading,Ampelgading,01/01/2020,2020,Februari,73,20,93,3136,16,"0,16",0,1,2,2,7,7
14,Poncokusumo,Poncokusumo,01/01/2020,2020,Februari,121,5,126,6371,"6,2","0,062",0,1,4,1,7,7
15,Wajak,Wajak,01/01/2020,2020,Februari,449,61,510,6316,"7,9","0,079",0,1,2,1,9,9
16,Turen,Turen,01/01/2020,2020,Februari,805,215,1020,8106,18,"0,18",2,1,4,1,7,7
17,Bululawang,Bululawang,01/01/2020,2020,Februari,573,127,700,4568,"10,1","0,101",1,1,4,6,18,18
18,Gondanglegi,Gondanglegi,01/01/2020,2020,Februari,498,144,642,3258,"30,1","0,301",1,2,3,3,14,14
19,Gondanglegi,Ketawang,01/01/2020,2020,Februari,142,91,233,2513,"3,4","0,034",1,2,3,1,12,12
20,Pagelaran,Pagelaran,01/01/2020,2020,Februari,580,71,651,4287,"23,6","0,236",0,1,2,1,0,15
21,Kepanjen,Kepanjen,01/01/2020,2020,Februari,336,106,442,6752,"10,5","0,105",3,1,3,4,15,15
22,Sumberpucung,Sumberpucung,01/01/2020,2020,Februari,476,175,651,3265,"15,3","0,153",0,1,1,7,15,15
23,Kromengan,Kromengan,01/01/2020,2020,Februari,213,22,235,2586,"10,7","0,107",1,1,1,5,12,12
24,Ngajum,Ngajum,01/01/2020,2020,Februari,668,255,923,3058,"3,1","0,031",0,1,2,0,9,9
25,Wonosari,Wonosari,01/01/2020,2020,Februari,147,29,176,1512,"24,1","0,241",0,1,2,1,12,12
26,Wagir,Wagir,01/01/2020,2020,Februari,435,104,539,6204,"7,1","0,071",0,1,3,5,8,10
27,Pakisaji,Pakisaji,01/01/2020,2020,Februari,466,94,560,6361,9,"0,09",1,1,2,6,9,9
28,Tajinan,Tajinan,01/01/2020,2020,Februari,622,146,768,3748,"24,4","0,244",0,1,3,7,7,9
29,Tumpang,Tumpang,01/01/2020,2020,Februari,459,167,626,4506,"15,8","0,158",1,1,15,2,6,8
30,Pakis,Pakis,01/01/2020,2020,Februari,1657,3,1660,8393,"29,6","0,296",1,1,2,5,12,12
31,Jabung,Jabung,01/01/2020,2020,Februari,485,163,648,4079,"15,3","0,153",0,1,3,3,9,10
32,Lawang,Lawang,01/01/2020,2020,Februari,321,45,366,6702,"5,3","0,053",5,1,3,3,13,13
33,Singosari,Singosari,01/01/2020,2020,Februari,305,0,305,6430,"8,5","0,085",2,2,4,0,6,6
34,Singosari,Ardimulyo,01/01/2020,2020,Februari,365,127,492,4147,"24,2","0,242",2,2,4,0,7,8
35,Karangploso,Karangploso,01/01/2020,2020,Februari,360,119,479,5177,"14,9","0,149",1,1,3,0,6,6
36,Dau,Dau,01/01/2020,2020,Februari,311,66,377,4064,"12,6","0,126",1,1,2,4,13,13
37,Pujon,Pujon,01/01/2020,2020,Februari,790,297,1087,4343,28,"0,28",1,1,2,2,7,7
38,Ngantang,Ngantang,01/01/2020,2020,Februari,490,148,638,3683,"18,4","0,184",0,1,3,2,8,8
39,Kasembon,Kasembon,01/01/2020,2020,Februari,219,37,256,1965,"17,3","0,173",1,1,2,5,10,10
40,Donomulyo,Donomulyo,01/01/2020,2020,Agustus,187,32,219,3539,"8,3","0,083",0,1,4,3,10,10
