Kecamatan,Tahun,Jumlah_Bencana,Hancur,Rusak,Kerugian_Rupiah
Donomulyo,2020,1,0,0,Rp6.000.000
Pagak,2020,3,0,0,Rp0
Bantur,2020,5,0,2,Rp17.000.000
Sumbermanjing Wetan,2020,28,0,5,Rp72.000.000
Dampit,2020,7,2,4,Rp82.000.000
Ampelgading,2020,7,0,5,Rp82.000.000
Poncokusumo,2020,4,0,30,Rp63.000.000
Wajak,2020,2,0,0,Rp0
Turen,2020,2,0,5,Rp7.000.000
Gondanglegi,2020,3,0,1,Rp5.000.000
Kalipare,2020,0,0,0,Rp0
Sumberpucung,2020,1,0,47,Rp62.000.000
Kepanjen,2020,13,0,19,Rp3.000.000
Bululawang,2020,0,0,0,Rp0
Tajinan,2020,0,0,0,Rp0
Tumpang,2020,7,0,4,Rp45.000.000
Jabung,2020,8,0,124,Rp124.000.000
Pakis,2020,3,2,1,Rp90.000.000
Pakisaji,2020,4,0,1,Rp3.500.000
Ngajum,2020,1,0,0,Rp0
Wagir,2020,5,0,17,Rp50.000.000
Dau,2020,9,0,8,Rp20.000.000
Karangploso,2020,1,0,19,Rp0
Singosari,2020,7,0,108,Rp25.000.000
Lawang,2020,6,0,16,Rp110.000.000
Pujon,2020,8,0,2,Rp15.000.000
Ngantang,2020,7,0,2,Rp85.000.000
Kasembon,2020,2,0,5,Rp3.000.000
Gedangan,2020,1,0,0,Rp0
Tirtoyudo,2020,6,0,5,Rp12.500.000
Kromengan,2020,0,0,0,Rp0
Wonosari,2020,1,0,0,Rp0
Pagelaran,2020,2,0,1,Rp5.000.000
Donomulyo,2021,2,0,39,Rp0
Pagak,2021,1,0,141,Rp0
Bantur,2021,2,0,226,Rp0
Sumbermanjing Wetan,2021,17,0,1.597,Rp96.000.000
Dampit,2021,14,0,2.763,Rp60.000.000
Ampelgading,2021,6,0,2.307,Rp96.000.000
Poncokusumo,2021,14,0,103,Rp56.000.000
Wajak,2021,4,0,18,Rp10.000.000
Turen,2021,2,0,1.368,Rp0
Gondanglegi,2021,1,0,74,Rp0
Kalipare,2021,2,0,7,Rp0
Sumberpucung,2021,2,0,12,Rp0
Kepanjen,2021,14,0,106,Rp47.000.000
Bululawang,2021,7,0,6,Rp5.000.000
Tajinan,2021,5,0,11,Rp118.000.000
Tumpang,2021,11,0,51,Rp65.000.000
Jabung,2021,13,0,94,Rp100.000.000
Pakis,2021,15,0,7,Rp144.000.000
Pakisaji,2021,8,0,0,Rp105.000.000
Ngajum,2021,5,0,42,Rp55.000.000
Wagir,2021,9,0,44,Rp250.000.000
Dau,2021,6,0,21,Rp35.000.000
Karangploso,2021,3,0,0,Rp200.000.000
Singosari,2021,3,0,1,Rp0
Lawang,2021,3,0,45,Rp20.000.000
Pujon,2021,21,0,4,Rp38.000.000
Ngantang,2021,27,0,5,Rp65.000.000
Kasembon,2021,9,0,1,Rp1.250.000.000
Gedangan,2021,7,0,268,Rp55.000.000
Tirtoyudo,2021,8,0,2.857,Rp270.000.000
Kromengan,2021,1,0,20,Rp0
Wonosari,2021,5,0,27,Rp0
Pagelaran,2021,1,0,57,Rp0
Donomulyo,2022,9,0,0,Rp0
Pagak,2022,2,0,2,Rp0
Bantur,2022,6,0,3,Rp58.500.000
Sumbermanjing Wetan,2022,26,2,22,Rp191.000.000
Dampit,2022,19,0,17,Rp10.000.000
Ampelgading,2022,26,0,7,Rp898.000.000
Poncokusumo,2022,5,0,0,Rp0
Wajak,2022,5,1,58,Rp100.000.000
Turen,2022,3,0,2,Rp10.000.000
Gondanglegi,2022,3,0,0,Rp0
Kalipare,2022,8,0,0,Rp0
Sumberpucung,2022,1,0,0,Rp0
Kepanjen,2022,10,1,15,Rp27.000.000
Bululawang,2022,1,0,0,Rp0
Tajinan,2022,1,0,16,Rp0
Tumpang,2022,2,0,21,Rp14.000.000
Jabung,2022,4,1,74,Rp121.000.000
Pakis,2022,16,0,90,Rp102.000.000
Pakisaji,2022,5,0,30,Rp14.000.000
Ngajum,2022,1,0,0,Rp0
Wagir,2022,2,0,0,Rp0
Dau,2022,1,0,1,Rp0
Karangploso,2022,5,0,2,Rp0
Singosari,2022,4,12,143,Rp260.000.000
Lawang,2022,18,0,32,Rp1.296.000.000
Pujon,2022,9,1,15,Rp13.000.000
Ngantang,2022,12,0,4,Rp1.000.000
Kasembon,2022,9,0,19,Rp33.000.000
Gedangan,2022,10,1,1,Rp15.000.000
Tirtoyudo,2022,77,17,2,Rp20.000.000
Kromengan,2022,0,0,0,Rp0
Wonosari,2022,1,0,0,Rp0
Pagelaran,2022,1,0,0,Rp0
Donomulyo,2023,1,0,0,Rp0
Pagak,2023,3,0,0,Rp0
Bantur,2023,2,0,7,Rp3.300.000
Sumbermanjing Wetan,2023,16,14,1.056,Rp15.000.000
Dampit,2023,11,1,44,Rp165.500.000
Ampelgading,2023,9,0,149,Rp100.000.000
Poncokusumo,2023,5,0,0,Rp0
Wajak,2023,7,0,19,Rp30.600.000
Turen,2023,6,0,3,Rp26.000.000
Gondanglegi,2023,1,0,0,Rp0
Kalipare,2023,4,0,0,Rp0
Sumberpucung,2023,3,0,1,Rp0
Kepanjen,2023,4,0,8,Rp12.000.000
Bululawang,2023,2,0,0,Rp0
Tajinan,2023,2,0,12,Rp10.000.000
Tumpang,2023,7,1,8,Rp35.000.000
Jabung,2023,13,0,41,Rp29.000.000
Pakis,2023,14,0,1,Rp23.000.000
Pakisaji,2023,5,0,0,Rp0
Ngajum,2023,0,0,0,Rp0
Wagir,2023,11,0,1,Rp15.000.000
Dau,2023,11,0,0,Rp0
Karangploso,2023,11,0,13,Rp150.000.000
Singosari,2023,14,1,52,Rp7.000.000
Lawang,2023,10,0,22,Rp85.000.000
Pujon,2023,16,0,7,Rp160.000.000
Ngantang,2023,19,1,4,Rp78.000.000
Kasembon,2023,2,1,1,Rp0
Gedangan,2023,9,0,117,Rp32.000.000
Tirtoyudo,2023,12,2,68,Rp0
Kromengan,2023,1,0,0,Rp0
Wonosari,2023,1,0,0,Rp25.000.000
Pagelaran,2023,0,0,0,Rp0
Donomulyo,2024,10,0,11,Rp73.000.000
Pagak,2024,16,0,1,Rp0
Bantur,2024,8,0,3,Rp160.000.000
Sumbermanjing Wetan,2024,6,0,3,Rp0
Dampit,2024,6,0,5,Rp75.000.000
Ampelgading,2024,6,0,8,Rp210.000.000
Poncokusumo,2024,6,0,17,Rp141.000.000
Wajak,2024,5,0,14,Rp128.970.000
Turen,2024,2,0,5,Rp1.000.000
Gondanglegi,2024,2,0,1,Rp0
Kalipare,2024,5,0,0,Rp0
Sumberpucung,2024,1,0,1,Rp0
Kepanjen,2024,11,0,25,Rp85.000.000
Bululawang,2024,2,0,7,Rp15.000.000
Tajinan,2024,1,0,1,Rp7.500.000
Tumpang,2024,7,0,7,Rp27.700.000
Jabung,2024,8,0,32,Rp66.000.000
Pakis,2024,9,0,15,Rp74.000.000
Pakisaji,2024,7,0,27,Rp155.000.000
Ngajum,2024,1,0,26,Rp0
Wagir,2024,6,0,16,Rp130.000.000
Dau,2024,5,0,21,Rp100.000.000
Karangploso,2024,0,0,0,Rp0
Singosari,2024,4,0,11,Rp30.500.000
Lawang,2024,10,0,36,Rp130.000.000
Pujon,2024,6,0,4,Rp68.000.000
Ngantang,2024,6,0,7,Rp131.000.000
Kasembon,2024,3,0,3,Rp12.000.000
Gedangan,2024,6,0,7,Rp67.000.000
Tirtoyudo,2024,4,0,2,Rp90.000.000
Kromengan,2024,3,0,0,Rp0
Wonosari,2024,2,0,3,Rp1.500.000
Pagelaran,2024,2,0,8,Rp92.500.000
