Bulan,Tahun,Bentuk_Kekerasan,Jumlah_Kasus
Januari,2020,Fisik,0
Februari,2020,Fisik,0
Maret,2020,Fisik,1
April,2020,Fisik,3
Mei,2020,Fisik,3
Juni,2020,Fisik,2
Juli,2020,Fisik,2
Agustus,2020,Fisik,1
September,2020,Fisik,1
Oktober,2020,Fisik,0
November,2020,Fisik,1
Desember,2020,Fisik,0
Total,2020,Fisik,14
Januari,2020,Psikis,4
Februari,2020,Psikis,0
Maret,2020,Psikis,0
April,2020,Psikis,2
Mei,2020,Psikis,0
Juni,2020,Psikis,0
Juli,2020,Psikis,1
Agustus,2020,Psikis,1
September,2020,Psikis,1
Oktober,2020,Psikis,0
November,2020,Psikis,1
Desember,2020,Psikis,0
Total,2020,Psikis,10
Januari,2020,Seksual,1
Februari,2020,Seksual,0
Maret,2020,Seksual,0
April,2020,Seksual,0
Mei,2020,Seksual,0
Juni,2020,Seksual,2
Juli,2020,Seksual,3
Agustus,2020,Seksual,0
September,2020,Seksual,0
Oktober,2020,Seksual,1
November,2020,Seksual,1
Desember,2020,Seksual,2
Total,2020,Seksual,10
Januari,2020,Penelantaran,0
Februari,2020,Penelantaran,0
Maret,2020,Penelantaran,1
April,2020,Penelantaran,0
Mei,2020,Penelantaran,1
Juni,2020,Penelantaran,0
Juli,2020,Penelantaran,0
Agustus,2020,Penelantaran,1
September,2020,Penelantaran,0
Oktober,2020,Penelantaran,0
November,2020,Penelantaran,0
Desember,2020,Penelantaran,0
Total,2020,Penelantaran,3
Januari,2020,Lainnya,0
Februari,2020,Lainnya,0
Maret,2020,Lainnya,1
April,2020,Lainnya,1
Mei,2020,Lainnya,0
Juni,2020,Lainnya,0
Juli,2020,Lainnya,0
Agustus,2020,Lainnya,0
September,2020,Lainnya,2
Oktober,2020,Lainnya,0
November,2020,Lainnya,0
Desember,2020,Lainnya,0
Total,2020,Lainnya,4
Januari,2021,Fisik,1
Februari,2021,Fisik,1
Maret,2021,Fisik,1
April,2021,Fisik,0
Mei,2021,Fisik,0
Juni,2021,Fisik,3
Juli,2021,Fisik,1
Agustus,2021,Fisik,0
September,2021,Fisik,1
Oktober,2021,Fisik,1
November,2021,Fisik,1
Desember,2021,Fisik,3
Total,2021,Fisik,13
Januari,2021,Psikis,1
Februari,2021,Psikis,2
Maret,2021,Psikis,2
April,2021,Psikis,3
Mei,2021,Psikis,1
Juni,2021,Psikis,1
Juli,2021,Psikis,2
Agustus,2021,Psikis,0
September,2021,Psikis,1
Oktober,2021,Psikis,1
November,2021,Psikis,3
Desember,2021,Psikis,3
Total,2021,Psikis,20
Januari,2021,Seksual,0
Februari,2021,Seksual,0
Maret,2021,Seksual,0
April,2021,Seksual,0
Mei,2021,Seksual,0
Juni,2021,Seksual,2
Juli,2021,Seksual,1
Agustus,2021,Seksual,0
September,2021,Seksual,0
Oktober,2021,Seksual,0
November,2021,Seksual,5
Desember,2021,Seksual,1
Total,2021,Seksual,9
Januari,2021,Penelantaran,0
Februari,2021,Penelantaran,0
Maret,2021,Penelantaran,0
April,2021,Penelantaran,1
Mei,2021,Penelantaran,0
Juni,2021,Penelantaran,0
Juli,2021,Penelantaran,2
Agustus,2021,Penelantaran,0
September,2021,Penelantaran,0
Oktober,2021,Penelantaran,0
November,2021,Penelantaran,0
Desember,2021,Penelantaran,0
Total,2021,Penelantaran,3
Januari,2021,Lainnya,0
Februari,2021,Lainnya,0
Maret,2021,Lainnya,0
April,2021,Lainnya,0
Mei,2021,Lainnya,0
Juni,2021,Lainnya,0
Juli,2021,Lainnya,0
Agustus,2021,Lainnya,0
September,2021,Lainnya,0
Oktober,2021,Lainnya,0
November,2021,Lainnya,0
Desember,2021,Lainnya,1
Total,2021,Lainnya,1
Januari,2022,Fisik,0
Februari,2022,Fisik,1
Maret,2022,Fisik,1
April,2022,Fisik,2
Mei,2022,Fisik,1
Juni,2022,Fisik,1
Juli,2022,Fisik,0
Agustus,2022,Fisik,1
September,2022,Fisik,1
Oktober,2022,Fisik,3
November,2022,Fisik,0
Desember,2022,Fisik,1
Total,2022,Fisik,12
Januari,2022,Psikis,3
Februari,2022,Psikis,1
Maret,2022,Psikis,4
April,2022,Psikis,2
Mei,2022,Psikis,1
Juni,2022,Psikis,2
Juli,2022,Psikis,0
Agustus,2022,Psikis,1
September,2022,Psikis,3
Oktober,2022,Psikis,4
November,2022,Psikis,1
Desember,2022,Psikis,6
Total,2022,Psikis,28
Januari,2022,Seksual,2
Februari,2022,Seksual,1
Maret,2022,Seksual,2
April,2022,Seksual,2
Mei,2022,Seksual,1
Juni,2022,Seksual,2
Juli,2022,Seksual,0
Agustus,2022,Seksual,1
September,2022,Seksual,2
Oktober,2022,Seksual,0
November,2022,Seksual,0
Desember,2022,Seksual,5
Total,2022,Seksual,18
Januari,2022,Penelantaran,0
Februari,2022,Penelantaran,0
Maret,2022,Penelantaran,1
April,2022,Penelantaran,1
Mei,2022,Penelantaran,0
Juni,2022,Penelantaran,0
Juli,2022,Penelantaran,0
Agustus,2022,Penelantaran,1
September,2022,Penelantaran,0
Oktober,2022,Penelantaran,1
November,2022,Penelantaran,0
Desember,2022,Penelantaran,0
Total,2022,Penelantaran,4
Januari,2022,Lainnya,0
Februari,2022,Lainnya,0
Maret,2022,Lainnya,0
April,2022,Lainnya,0
Mei,2022,Lainnya,0
Juni,2022,Lainnya,0
Juli,2022,Lainnya,0
Agustus,2022,Lainnya,0
September,2022,Lainnya,0
Oktober,2022,Lainnya,0
November,2022,Lainnya,0
Desember,2022,Lainnya,0
Total,2022,Lainnya,0
Januari,2023,Fisik,3
Februari,2023,Fisik,3
Maret,2023,Fisik,1
April,2023,Fisik,0
Mei,2023,Fisik,1
Juni,2023,Fisik,2
Juli,2023,Fisik,3
Agustus,2023,Fisik,0
September,2023,Fisik,3
Oktober,2023,Fisik,1
November,2023,Fisik,3
Desember,2023,Fisik,1
Total,2023,Fisik,21
Januari,2023,Psikis,4
Februari,2023,Psikis,5
Maret,2023,Psikis,7
April,2023,Psikis,1
Mei,2023,Psikis,2
Juni,2023,Psikis,3
Juli,2023,Psikis,1
Agustus,2023,Psikis,0
September,2023,Psikis,3
Oktober,2023,Psikis,0
November,2023,Psikis,4
Desember,2023,Psikis,1
Total,2023,Psikis,31
Januari,2023,Seksual,1
Februari,2023,Seksual,2
Maret,2023,Seksual,2
April,2023,Seksual,0
Mei,2023,Seksual,1
Juni,2023,Seksual,1
Juli,2023,Seksual,1
Agustus,2023,Seksual,0
September,2023,Seksual,2
Oktober,2023,Seksual,0
November,2023,Seksual,0
Desember,2023,Seksual,0
Total,2023,Seksual,10
Januari,2023,Penelantaran,0
Februari,2023,Penelantaran,2
Maret,2023,Penelantaran,6
April,2023,Penelantaran,0
Mei,2023,Penelantaran,0
Juni,2023,Penelantaran,1
Juli,2023,Penelantaran,1
Agustus,2023,Penelantaran,0
September,2023,Penelantaran,2
Oktober,2023,Penelantaran,0
November,2023,Penelantaran,0
Desember,2023,Penelantaran,0
Total,2023,Penelantaran,12
Januari,2023,Lainnya,1
Februari,2023,Lainnya,0
Maret,2023,Lainnya,0
April,2023,Lainnya,0
Mei,2023,Lainnya,0
Juni,2023,Lainnya,0
Juli,2023,Lainnya,1
Agustus,2023,Lainnya,0
September,2023,Lainnya,0
Oktober,2023,Lainnya,0
November,2023,Lainnya,0
Desember,2023,Lainnya,0
Total,2023,Lainnya,2
Januari,2024,Fisik,5
Februari,2024,Fisik,1
Maret,2024,Fisik,2
April,2024,Fisik,4
Mei,2024,Fisik,0
Juni,2024,Fisik,2
