Jenis_Bencana,Tahun,Jumlah
Gempa_Bumi,2020,19
Tsunami,2020,0
Banjir,2020,15
Tanah_Longsor,2020,61
Letusan_Gunung_Api,2020,0
Kekeringan,2020,0
Gelombang_Ekstrem_dan_Abrasi,2020,0
Cuaca_Ekstrem_Angin_Puting_Beliung,2020,59
Kebakaran_Hutan_dan_Lahan,2020,0
Kebakaran_Gedung_dan_Pemukiman,2020,0
Epidemi_dan_Wabah_Penyakit,2020,0
Gagal_Teknologi,2020,0
Konflik_Sosial,2020,0
Angin_Kencang,2020,0
Kebakaran,2020,0
Erupsi_Gunung_Api,2020,0
Pohon_Tumbang,2020,0
Gempa_Bumi,2021,33
Tsunami,2021,0
Banjir,2021,21
Tanah_Longsor,2021,118
Letusan_Gunung_Api,2021,0
Kekeringan,2021,0
Gelombang_Ekstrem_dan_Abrasi,2021,0
Cuaca_Ekstrem_Angin_Puting_Beliung,2021,75
Kebakaran_Hutan_dan_Lahan,2021,0
Kebakaran_Gedung_dan_Pemukiman,2021,0
Epidemi_dan_Wabah_Penyakit,2021,0
Gagal_Teknologi,2021,0
Konflik_Sosial,2021,0
Angin_Kencang,2021,0
Kebakaran,2021,0
Erupsi_Gunung_Api,2021,0
Pohon_Tumbang,2021,0
Gempa_Bumi,2022,62
Tsunami,2022,0
Banjir,2022,32
Tanah_Longsor,2022,134
Letusan_Gunung_Api,2022,0
Kekeringan,2022,0
Gelombang_Ekstrem_dan_Abrasi,2022,0
Cuaca_Ekstrem_Angin_Puting_Beliung,2022,0
Kebakaran_Hutan_dan_Lahan,2022,0
Kebakaran_Gedung_dan_Pemukiman,2022,0
Epidemi_dan_Wabah_Penyakit,2022,0
Gagal_Teknologi,2022,0
Konflik_Sosial,2022,0
Angin_Kencang,2022,56
Kebakaran,2022,0
Erupsi_Gunung_Api,2022,0
Pohon_Tumbang,2022,18
Gempa_Bumi,2023,46
Tsunami,2023,0
Banjir,2023,16
Tanah_Longsor,2023,68
Letusan_Gunung_Api,2023,0
Kekeringan,2023,21
Gelombang_Ekstrem_dan_Abrasi,2023,0
Cuaca_Ekstrem_Angin_Puting_Beliung,2023,74
Kebakaran_Hutan_dan_Lahan,2023,0
Kebakaran_Gedung_dan_Pemukiman,2023,53
Epidemi_dan_Wabah_Penyakit,2023,0
Gagal_Teknologi,2023,0
Konflik_Sosial,2023,0
Angin_Kencang,2023,56
Kebakaran,2023,53
Erupsi_Gunung_Api,2023,0
Pohon_Tumbang,2023,18
Gempa_Bumi,2024,26
Tsunami,2024,0
Banjir,2024,15
Tanah_Longsor,2024,65
Letusan_Gunung_Api,2024,0
Kekeringan,2024,1
Gelombang_Ekstrem_dan_Abrasi,2024,4
Cuaca_Ekstrem_Angin_Puting_Beliung,2024,73
Kebakaran_Hutan_dan_Lahan,2024,0
Kebakaran_Gedung_dan_Pemukiman,2024,18
Epidemi_dan_Wabah_Penyakit,2024,0
Gagal_Teknologi,2024,0
Konflik_Sosial,2024,0
Angin_Kencang,2024,0
Kebakaran,2024,0
Erupsi_Gunung_Api,2024,0
Pohon_Tumbang,2024,0
