Bulan,Tahun,Gender,Jumlah_Kasus
Januari,2020,Laki-laki,1
Februari,2020,Laki-laki,1
Maret,2020,Laki-laki,6
April,2020,Laki-laki,0
Mei,2020,Laki-laki,0
Juni,2020,Laki-laki,0
Juli,2020,Laki-laki,2
Agustus,2020,Laki-laki,0
September,2020,Laki-laki,1
Oktober,2020,Laki-laki,1
November,2020,Laki-laki,3
Desember,2020,Laki-laki,0
Total,2020,Laki-laki,15
Januari,2020,Perempuan,5
Februari,2020,Perempuan,1
Maret,2020,Perempuan,0
April,2020,Perempuan,0
Mei,2020,Perempuan,1
Juni,2020,Perempuan,0
Juli,2020,Perempuan,3
Agustus,2020,Perempuan,2
September,2020,Perempuan,1
Oktober,2020,Perempuan,3
November,2020,Perempuan,5
Desember,2020,Perempuan,4
Total,2020,Perempuan,25
Januari,2021,Laki-laki,1
Februari,2021,Laki-laki,1
Maret,2021,Laki-laki,2
April,2021,Laki-laki,0
Mei,2021,Laki-laki,3
Juni,2021,Laki-laki,3
Juli,2021,Laki-laki,0
Agustus,2021,Laki-laki,5
September,2021,Laki-laki,3
Oktober,2021,Laki-laki,2
November,2021,Laki-laki,1
Desember,2021,Laki-laki,1
Total,2021,Laki-laki,22
Januari,2021,Perempuan,1
Februari,2021,Perempuan,0
Maret,2021,Perempuan,2
April,2021,Perempuan,2
Mei,2021,Perempuan,2
Juni,2021,Perempuan,3
Juli,2021,Perempuan,2
Agustus,2021,Perempuan,3
September,2021,Perempuan,2
Oktober,2021,Perempuan,5
November,2021,Perempuan,1
Desember,2021,Perempuan,4
Total,2021,Perempuan,27
Januari,2022,Laki-laki,1
Februari,2022,Laki-laki,2
Maret,2022,Laki-laki,0
April,2022,Laki-laki,1
Mei,2022,Laki-laki,4
Juni,2022,Laki-laki,3
Juli,2022,Laki-laki,3
Agustus,2022,Laki-laki,6
September,2022,Laki-laki,15
Oktober,2022,Laki-laki,4
November,2022,Laki-laki,4
Desember,2022,Laki-laki,4
Total,2022,Laki-laki,47
Januari,2022,Perempuan,4
Februari,2022,Perempuan,5
Maret,2022,Perempuan,3
April,2022,Perempuan,3
Mei,2022,Perempuan,5
Juni,2022,Perempuan,2
Juli,2022,Perempuan,1
Agustus,2022,Perempuan,7
September,2022,Perempuan,2
Oktober,2022,Perempuan,7
November,2022,Perempuan,8
Desember,2022,Perempuan,12
Total,2022,Perempuan,59
Januari,2023,Laki-laki,3
Februari,2023,Laki-laki,0
Maret,2023,Laki-laki,2
April,2023,Laki-laki,1
Mei,2023,Laki-laki,2
Juni,2023,Laki-laki,1
Juli,2023,Laki-laki,6
Agustus,2023,Laki-laki,2
September,2023,Laki-laki,5
Oktober,2023,Laki-laki,3
November,2023,Laki-laki,2
Desember,2023,Laki-laki,1
Total,2023,Laki-laki,28
Januari,2023,Perempuan,5
Februari,2023,Perempuan,8
Maret,2023,Perempuan,5
April,2023,Perempuan,4
Mei,2023,Perempuan,12
Juni,2023,Perempuan,17
Juli,2023,Perempuan,10
Agustus,2023,Perempuan,13
September,2023,Perempuan,7
Oktober,2023,Perempuan,4
November,2023,Perempuan,3
Desember,2023,Perempuan,2
Total,2023,Perempuan,90
Januari,2024,Laki-laki,8
Februari,2024,Laki-laki,5
Maret,2024,Laki-laki,1
April,2024,Laki-laki,1
Mei,2024,Laki-laki,3
Juni,2024,Laki-laki,5
Juli,2024,Laki-laki,5
Agustus,2024,Laki-laki,3
September,2024,Laki-laki,1
Oktober,2024,Laki-laki,4
November,2024,Laki-laki,1
Desember,2024,Laki-laki,21
Total,2024,Laki-laki,58
Januari,2024,Perempuan,24
Februari,2024,Perempuan,4
Maret,2024,Perempuan,19
April,2024,Perempuan,1
Mei,2024,Perempuan,9
Juni,2024,Perempuan,3
Juli,2024,Perempuan,8
Agustus,2024,Perempuan,7
September,2024,Perempuan,9
Oktober,2024,Perempuan,15
November,2024,Perempuan,10
Desember,2024,Perempuan,35
Total,2024,Perempuan,144
