Kecamatan,Tahun,Jenis_Kontrasepsi,Jumlah_Peserta,
Donomulyo,2020,AKDR,2.069,
Pagak,2020,AKDR,544,
Bantur,2020,AKDR,1.712,
Sumbermanjing Wetan,2020,AKDR,441,
Dampit,2020,AKDR,3.264,
Ampelgading,2020,AKDR,706,
Poncokusumo,2020,AKDR,4.086,
Wajak,2020,AKDR,1.061,
Turen,2020,AKDR,1.698,
Gondanglegi,2020,AKDR,795,
Kalipare,2020,AKDR,2.055,
Sumberpucung,2020,AKDR,1.198,
Kepanjen,2020,AKDR,3.778,
Bululawang,2020,AKDR,2.326,
Tajinan,2020,AKDR,745,
Tumpang,2020,AKDR,1.618,
Jabung,2020,AKDR,2.704,
Pakis,2020,AKDR,3.623,
Pakisaji,2020,AKDR,1.046,
Ngajum,2020,AKDR,1.017,
Wagir,2020,AKDR,2.061,
Dau,2020,AKDR,1.870,
Karangploso,2020,AKDR,1.603,
Singosari,2020,AKDR,2.812,
Lawang,2020,AKDR,3.644,
Pujon,2020,AKDR,1.856,
Ngantang,2020,AKDR,1.692,
Kasembon,2020,AKDR,1.214,
Gedangan,2020,AKDR,473,
Tirtoyudo,2020,AKDR,182,
Kromengan,2020,AKDR,672,
Wonosari,2020,AKDR,1.012,
Pagelaran,2020,AKDR,294,
Donomulyo,2020,MOP,0,440
Pagak,2020,MOP,32,
Bantur,2020,MOP,1,
Sumbermanjing Wetan,2020,MOP,9,
Dampit,2020,MOP,9,
Ampelgading,2020,MOP,2,
Poncokusumo,2020,MOP,42,
Wajak,2020,MOP,11,
Turen,2020,MOP,12,
Gondanglegi,2020,MOP,6,
Kalipare,2020,MOP,0,
Sumberpucung,2020,MOP,2,
Kepanjen,2020,MOP,23,
Bululawang,2020,MOP,14,
Tajinan,2020,MOP,7,
Tumpang,2020,MOP,47,
Jabung,2020,MOP,40,
Pakis,2020,MOP,21,
Pakisaji,2020,MOP,14,
Ngajum,2020,MOP,16,
Wagir,2020,MOP,40,
Dau,2020,MOP,2,
Karangploso,2020,MOP,10,
Singosari,2020,MOP,10,
Lawang,2020,MOP,8,
Pujon,2020,MOP,48,
Ngantang,2020,MOP,5,
Kasembon,2020,MOP,1,
Gedangan,2020,MOP,4,
Tirtoyudo,2020,MOP,0,
Kromengan,2020,MOP,1,
Wonosari,2020,MOP,3,
Pagelaran,2020,MOP,0,
Donomulyo,2020,MOW,182,
Pagak,2020,MOW,223,
Bantur,2020,MOW,659,
Sumbermanjing Wetan,2020,MOW,625,
Dampit,2020,MOW,1.509,
Ampelgading,2020,MOW,453,
Poncokusumo,2020,MOW,863,
Wajak,2020,MOW,639,
Turen,2020,MOW,773,
Gondanglegi,2020,MOW,450,
Kalipare,2020,MOW,342,
Sumberpucung,2020,MOW,322,
Kepanjen,2020,MOW,867,
Bululawang,2020,MOW,948,
Tajinan,2020,MOW,399,
Tumpang,2020,MOW,403,
Jabung,2020,MOW,539,
Pakis,2020,MOW,1.013,
Pakisaji,2020,MOW,605,
Ngajum,2020,MOW,398,
Wagir,2020,MOW,584,
Dau,2020,MOW,564,
Karangploso,2020,MOW,604,
Singosari,2020,MOW,1.093,
Lawang,2020,MOW,845,
Pujon,2020,MOW,298,
Ngantang,2020,MOW,294,
Kasembon,2020,MOW,414,
Gedangan,2020,MOW,932,
Tirtoyudo,2020,MOW,261,
Kromengan,2020,MOW,357,
Wonosari,2020,MOW,330,
Pagelaran,2020,MOW,347,
Donomulyo,2020,Kondom,65,
Pagak,2020,Kondom,37,
Bantur,2020,Kondom,120,
Sumbermanjing Wetan,2020,Kondom,104,
Dampit,2020,Kondom,233,
Ampelgading,2020,Kondom,53,
Poncokusumo,2020,Kondom,133,
Wajak,2020,Kondom,174,
Turen,2020,Kondom,384,
Gondanglegi,2020,Kondom,284,
Kalipare,2020,Kondom,550,
Sumberpucung,2020,Kondom,159,
Kepanjen,2020,Kondom,51,
Bululawang,2020,Kondom,22,
Tajinan,2020,Kondom,137,
Tumpang,2020,Kondom,61,
Jabung,2020,Kondom,80,
Pakis,2020,Kondom,314,
Pakisaji,2020,Kondom,318,
Ngajum,2020,Kondom,46,
Wagir,2020,Kondom,230,
Dau,2020,Kondom,77,
Karangploso,2020,Kondom,250,
Singosari,2020,Kondom,466,
Lawang,2020,Kondom,143,
Pujon,2020,Kondom,82,
Ngantang,2020,Kondom,31,
Kasembon,2020,Kondom,12,
Gedangan,2020,Kondom,83,
Tirtoyudo,2020,Kondom,44,
Kromengan,2020,Kondom,82,
Wonosari,2020,Kondom,11,
Pagelaran,2020,Kondom,183,
Donomulyo,2020,Implan,1.759,
Pagak,2020,Implan,730,
Bantur,2020,Implan,3.171,
Sumbermanjing Wetan,2020,Implan,1.090,
Dampit,2020,Implan,2.990,
Ampelgading,2020,Implan,909,
Poncokusumo,2020,Implan,2.823,
Wajak,2020,Implan,1.832,
Turen,2020,Implan,1.334,
Gondanglegi,2020,Implan,1.101,
Kalipare,2020,Implan,3.940,
Sumberpucung,2020,Implan,749,
Kepanjen,2020,Implan,2.184,
Bululawang,2020,Implan,1.246,
Tajinan,2020,Implan,1.280,
Tumpang,2020,Implan,795,
Jabung,2020,Implan,2.230,
Pakis,2020,Implan,1.448,
Pakisaji,2020,Implan,990,
Ngajum,2020,Implan,1.955,
Wagir,2020,Implan,2.244,
Dau,2020,Implan,978,
Karangploso,2020,Implan,412,
Singosari,2020,Implan,1.323,
Lawang,2020,Implan,1.538,
Pujon,2020,Implan,4.556,
Ngantang,2020,Implan,1.823,
Kasembon,2020,Implan,1.056,
Gedangan,2020,Implan,1.072,
Tirtoyudo,2020,Implan,800,
Kromengan,2020,Implan,1.257,
Wonosari,2020,Implan,1.687,
Pagelaran,2020,Implan,748,
Donomulyo,2020,Suntikan,8.154,
Pagak,2020,Suntikan,4.261,
Bantur,2020,Suntikan,3.560,
Sumbermanjing Wetan,2020,Suntikan,8.154,
Dampit,2020,Suntikan,12.573,
Ampelgading,2020,Suntikan,4.852,
Poncokusumo,2020,Suntikan,5.962,
Wajak,2020,Suntikan,9.741,
Turen,2020,Suntikan,9.377,
Gondanglegi,2020,Suntikan,5.941,
Kalipare,2020,Suntikan,2.647,
Sumberpucung,2020,Suntikan,3.334,
Kepanjen,2020,Suntikan,6.357,
Bululawang,2020,Suntikan,6.032,
Tajinan,2020,Suntikan,4.366,
Tumpang,2020,Suntikan,5.763,
Jabung,2020,Suntikan,5.506,
Pakis,2020,Suntikan,11.695,
Pakisaji,2020,Suntikan,7.157,
Ngajum,2020,Suntikan,3.784,
